x: 3 | y: 1 | z: 3 - 0.336121
x: 4 | y: 1 | z: 3 - 0.317627
x: 5 | y: 1 | z: 3 - 0.318762
x: 6 | y: 1 | z: 3 - 0.335578
x: 7 | y: 1 | z: 3 - 0.391248
x: 8 | y: 1 | z: 3 - 0.514090
x: 9 | y: 1 | z: 3 - 0.724748
x: 0 | y: 1 | z: 4 - 0.716762
x: 1 | y: 1 | z: 4 - 0.500302
x: 2 | y: 1 | z: 4 - 0.374309
x: 3 | y: 1 | z: 4 - 0.317627
x: 4 | y: 1 | z: 4 - 0.300978
x: 5 | y: 1 | z: 4 - 0.299393
x: 6 | y: 1 | z: 4 - 0.319208
x: 7 | y: 1 | z: 4 - 0.373912
x: 8 | y: 1 | z: 4 - 0.500697
x: 9 | y: 1 | z: 4 - 0.716741
x: 0 | y: 1 | z: 5 - 0.716741
x: 1 | y: 1 | z: 5 - 0.500448
x: 2 | y: 1 | z: 5 - 0.373913
x: 3 | y: 1 | z: 5 - 0.318762
x: 4 | y: 1 | z: 5 - 0.299393
x: 5 | y: 1 | z: 5 - 0.301613
x: 6 | y: 1 | z: 5 - 0.317622
x: 7 | y: 1 | z: 5 - 0.375047
x: 8 | y: 1 | z: 5 - 0.500301
x: 9 | y: 1 | z: 5 - 0.716883
x: 0 | y: 1 | z: 6 - 0.724717
x: 1 | y: 1 | z: 6 - 0.514090
x: 2 | y: 1 | z: 6 - 0.391103
x: 3 | y: 1 | z: 6 - 0.335578
x: 4 | y: 1 | z: 6 - 0.319208
x: 5 | y: 1 | z: 6 - 0.317622
x: 6 | y: 1 | z: 6 - 0.337159
x: 7 | y: 1 | z: 6 - 0.390705
x: 8 | y: 1 | z: 6 - 0.514485
x: 9 | y: 1 | z: 6 - 0.724696
x: 0 | y: 1 | z: 7 - 0.748491
x: 1 | y: 1 | z: 7 - 0.555521
x: 2 | y: 1 | z: 7 - 0.441924
x: 3 | y: 1 | z: 7 - 0.391248
x: 4 | y: 1 | z: 7 - 0.373912
x: 5 | y: 1 | z: 7 - 0.375047
x: 6 | y: 1 | z: 7 - 0.390705
x: 7 | y: 1 | z: 7 - 0.442466
x: 8 | y: 1 | z: 7 - 0.555468
x: 9 | y: 1 | z: 7 - 0.748543
x: 0 | y: 1 | z: 8 - 0.800242
x: 1 | y: 1 | z: 8 - 0.646607
x: 2 | y: 1 | z: 8 - 0.555538
x: 3 | y: 1 | z: 8 - 0.514090
x: 4 | y: 1 | z: 8 - 0.500697
x: 5 | y: 1 | z: 8 - 0.500301
x: 6 | y: 1 | z: 8 - 0.514485
x: 7 | y: 1 | z: 8 - 0.555468
x: 8 | y: 1 | z: 8 - 0.646676
x: 9 | y: 1 | z: 8 - 0.800242
x: 0 | y: 1 | z: 9 - 0.887278
x: 1 | y: 1 | z: 9 - 0.800242
x: 2 | y: 1 | z: 9 - 0.748491
x: 3 | y: 1 | z: 9 - 0.724748
x: 4 | y: 1 | z: 9 - 0.716741
x: 5 | y: 1 | z: 9 - 0.716883
x: 6 | y: 1 | z: 9 - 0.724696
x: 7 | y: 1 | z: 9 - 0.748543
x: 8 | y: 1 | z: 9 - 0.800242
x: 9 | y: 1 | z: 9 - 0.887278
x: 0 | y: 2 | z: 0 - 0.857808
x: 1 | y: 2 | z: 0 - 0.748491
x: 2 | y: 2 | z: 0 - 0.683717
x: 3 | y: 2 | z: 0 - 0.654378
x: 4 | y: 2 | z: 0 - 0.644565
x: 5 | y: 2 | z: 0 - 0.644681
x: 6 | y: 2 | z: 0 - 0.654337
x: 7 | y: 2 | z: 0 - 0.683759
x: 8 | y: 2 | z: 0 - 0.748491
x: 9 | y: 2 | z: 0 - 0.857808
x: 0 | y: 2 | z: 1 - 0.748491
x: 1 | y: 2 | z: 1 - 0.555469
x: 2 | y: 2 | z: 1 - 0.441994
x: 3 | y: 2 | z: 1 - 0.390707
x: 4 | y: 2 | z: 1 - 0.374309
x: 5 | y: 2 | z: 1 - 0.373913
x: 6 | y: 2 | z: 1 - 0.391103
x: 7 | y: 2 | z: 1 - 0.441924
x: 8 | y: 2 | z: 1 - 0.555538
x: 9 | y: 2 | z: 1 - 0.748491
x: 0 | y: 2 | z: 2 - 0.683717
x: 1 | y: 2 | z: 2 - 0.441994
x: 2 | y: 2 | z: 2 - 0.300451
x: 3 | y: 2 | z: 2 - 0.238089
x: 4 | y: 2 | z: 2 - 0.216921
x: 5 | y: 2 | z: 2 - 0.218359
x: 6 | y: 2 | z: 2 - 0.237393
x: 7 | y: 2 | z: 2 - 0.301145
x: 8 | y: 2 | z: 2 - 0.441924
x: 9 | y: 2 | z: 2 - 0.683787
x: 0 | y: 2 | z: 3 - 0.654378
x: 1 | y: 2 | z: 3 - 0.390707
x: 2 | y: 2 | z: 3 - 0.238089
x: 3 | y: 2 | z: 3 - 0.169540
x: 4 | y: 2 | z: 3 - 0.150370
x: 5 | y: 2 | z: 3 - 0.147739
x: 6 | y: 2 | z: 3 - 0.172163
x: 7 | y: 2 | z: 3 - 0.237392
x: 8 | y: 2 | z: 3 - 0.391401
x: 9 | y: 2 | z: 3 - 0.654336
x: 0 | y: 2 | z: 4 - 0.644565
x: 1 | y: 2 | z: 4 - 0.374309
x: 2 | y: 2 | z: 4 - 0.216921
x: 3 | y: 2 | z: 4 - 0.150370
x: 4 | y: 2 | z: 4 - 0.125609
x: 5 | y: 2 | z: 4 - 0.130509
x: 6 | y: 2 | z: 4 - 0.147733
x: 7 | y: 2 | z: 4 - 0.219543
x: 8 | y: 2 | z: 4 - 0.373911
x: 9 | y: 2 | z: 4 - 0.644947
x: 0 | y: 2 | z: 5 - 0.644681
x: 1 | y: 2 | z: 5 - 0.373913
x: 2 | y: 2 | z: 5 - 0.218359
x: 3 | y: 2 | z: 5 - 0.147739
x: 4 | y: 2 | z: 5 - 0.130509
x: 5 | y: 2 | z: 5 - 0.125589
x: 6 | y: 2 | z: 5 - 0.152633
x: 7 | y: 2 | z: 5 - 0.216912
x: 8 | y: 2 | z: 5 - 0.375347
x: 9 | y: 2 | z: 5 - 0.644564
x: 0 | y: 2 | z: 6 - 0.654337
x: 1 | y: 2 | z: 6 - 0.391103
x: 2 | y: 2 | z: 6 - 0.237393
x: 3 | y: 2 | z: 6 - 0.172163
x: 4 | y: 2 | z: 6 - 0.147733
x: 5 | y: 2 | z: 6 - 0.152633
x: 6 | y: 2 | z: 6 - 0.169526
x: 7 | y: 2 | z: 6 - 0.240015
x: 8 | y: 2 | z: 6 - 0.390705
x: 9 | y: 2 | z: 6 - 0.654718
x: 0 | y: 2 | z: 7 - 0.683759
x: 1 | y: 2 | z: 7 - 0.441924
x: 2 | y: 2 | z: 7 - 0.301145
x: 3 | y: 2 | z: 7 - 0.237392
x: 4 | y: 2 | z: 7 - 0.219543
x: 5 | y: 2 | z: 7 - 0.216912
x: 6 | y: 2 | z: 7 - 0.240015
x: 7 | y: 2 | z: 7 - 0.300448
x: 8 | y: 2 | z: 7 - 0.442618
x: 9 | y: 2 | z: 7 - 0.683717
x: 0 | y: 2 | z: 8 - 0.748491
x: 1 | y: 2 | z: 8 - 0.555538
x: 2 | y: 2 | z: 8 - 0.441924
x: 3 | y: 2 | z: 8 - 0.391401
x: 4 | y: 2 | z: 8 - 0.373911
x: 5 | y: 2 | z: 8 - 0.375347
x: 6 | y: 2 | z: 8 - 0.390705
x: 7 | y: 2 | z: 8 - 0.442618
x: 8 | y: 2 | z: 8 - 0.555468
x: 9 | y: 2 | z: 8 - 0.748560
x: 0 | y: 2 | z: 9 - 0.857808
x: 1 | y: 2 | z: 9 - 0.748491
x: 2 | y: 2 | z: 9 - 0.683787
x: 3 | y: 2 | z: 9 - 0.654336
x: 4 | y: 2 | z: 9 - 0.644947
x: 5 | y: 2 | z: 9 - 0.644564
x: 6 | y: 2 | z: 9 - 0.654718
x: 7 | y: 2 | z: 9 - 0.683717
x: 8 | y: 2 | z: 9 - 0.748560
x: 9 | y: 2 | z: 9 - 0.857808
x: 0 | y: 3 | z: 0 - 0.844235
x: 1 | y: 3 | z: 0 - 0.724696
x: 2 | y: 3 | z: 0 - 0.654378
x: 3 | y: 3 | z: 0 - 0.622584
x: 4 | y: 3 | z: 0 - 0.612395
x: 5 | y: 3 | z: 0 - 0.612151
x: 6 | y: 3 | z: 0 - 0.622828
x: 7 | y: 3 | z: 0 - 0.654337
x: 8 | y: 3 | z: 0 - 0.724738
x: 9 | y: 3 | z: 0 - 0.844235
x: 0 | y: 3 | z: 1 - 0.724696
x: 1 | y: 3 | z: 1 - 0.514142
x: 2 | y: 3 | z: 1 - 0.390707
x: 3 | y: 3 | z: 1 - 0.336121
x: 4 | y: 3 | z: 1 - 0.317627
x: 5 | y: 3 | z: 1 - 0.318762
x: 6 | y: 3 | z: 1 - 0.335578
x: 7 | y: 3 | z: 1 - 0.391248
x: 8 | y: 3 | z: 1 - 0.514090
x: 9 | y: 3 | z: 1 - 0.724748
x: 0 | y: 3 | z: 2 - 0.654378
x: 1 | y: 3 | z: 2 - 0.390707
x: 2 | y: 3 | z: 2 - 0.238089
x: 3 | y: 3 | z: 2 - 0.169540
x: 4 | y: 3 | z: 2 - 0.150370
x: 5 | y: 3 | z: 2 - 0.147739
x: 6 | y: 3 | z: 2 - 0.172163
x: 7 | y: 3 | z: 2 - 0.237392
x: 8 | y: 3 | z: 2 - 0.391401
x: 9 | y: 3 | z: 2 - 0.654336
x: 0 | y: 3 | z: 3 - 0.622584
x: 1 | y: 3 | z: 3 - 0.336121
x: 2 | y: 3 | z: 3 - 0.169540
x: 3 | y: 3 | z: 3 - 0.100118
x: 4 | y: 3 | z: 3 - 0.073479
x: 5 | y: 3 | z: 3 - 0.079809
x: 6 | y: 3 | z: 3 - 0.096664
x: 7 | y: 3 | z: 3 - 0.172974
x: 8 | y: 3 | z: 3 - 0.335576
x: 9 | y: 3 | z: 3 - 0.623105
x: 0 | y: 3 | z: 4 - 0.612395
x: 1 | y: 3 | z: 4 - 0.317627
